"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"572.A","Cobro parcial del crédito fallido","","C","","326","122","0"
"650.A","Pérdida crédito incobrable","","Z","","327","122","5"
"436.A","Baja definitiva cliente dudoso","","","B","328","122","10"
"400.A","Deuda con proveedor cedida al banco (confirming)","","B","","329","123","0"
"5209.A","Deuda por operación de factoring/confirming","","","B","330","123","5"
"600.A","Gasto accrual pendiente de factura","","B","","331","124","0"
"472.A","IVA soportado estimado","","C","","332","124","5"
"4009.A","Proveedor factura pendiente de recibir","","","Z","333","124","10"
"629.A","Dietas y gastos de viaje empleado","","B","","334","125","0"
"465.A","Pendiente de pago a empleado","","","B","335","125","5"
"2806.A","Amortización acumulada intangible vendido","","C","","336","126","0"
"572.A","Cobro por venta intangible","","D","","337","126","5"
"206.A","Baja inmovilizado intangible (valor bruto)","","","B","338","126","10"
"770.A","Beneficio en venta inmovilizado intangible","","","Z","339","126","15"
"218.A","Vehículo empresa (valor total)","","B","","340","127","0"
"472.A","IVA soportado deducible 50%","","C","","341","127","5"
"523.A","Proveedor inmovilizado a corto plazo","","","Z","342","127","10"
"572.A","Cobro intereses bancarios","","B","","343","128","0"
"769.A","Otros ingresos financieros","","","B","344","128","5"
"572.A","Cobro donación banco","","B","","345","129","0"
"131.A","Donaciones y legados de capital","","","B","346","129","5"
"217.A","Móvil / tablet empresa (equipo proceso información)","","B","","347","130","0"
"472.A","IVA soportado 21%","","C","","348","130","5"
"523.A","Proveedor inmovilizado a corto plazo","","","Z","349","130","10"
"628.A","Energía eléctrica proporción actividad (% sobre total)","","B","","350","131","0"
"472.A","IVA soportado deducible proporción actividad","","C","","351","131","5"
"410.A","Acreedor compañía energía","","","Z","352","131","10"
"629.A","Telefonía fija","","B","","353","132","0"
"629.A","Telefonía móvil","","C","","354","132","5"
"629.A","Internet / fibra óptica","","D","","355","132","10"
"472.A","IVA soportado total telecomunicaciones","","E","","356","132","15"
"410.A","Acreedor operadora telecomunicaciones","","","Z","357","132","20"
"628.A","Combustible / carburante","","B","","358","133","0"
"472.A","IVA soportado carburante 10%","","C","","359","133","5"
"570.A","Pago en efectivo (caja)","","","Z","360","133","10"
"628.A","Electricidad PVPC","","B","","361","134","0"
"472.A","IVA soportado 10%","","C","","362","134","5"
"410.A","Acreedor comercializadora","","","Z","363","134","10"
"430.A","Arrendatario deudor","","Z","","364","135","0"
"705.A","Ingreso arrendamiento","","","B","365","135","5"
"477.A","IVA repercutido 21%","","","C","366","135","10"
"572.A","Cobro banco neto","","Z","","367","136","0"
"473.A","Retención IRPF soportada 19%","","B","","368","136","5"
"430.A","Cancela deuda arrendatario","","","C","369","136","10"
"640.A","Sueldos y salarios","","D","","370","137","0"
"642.A","SS empresa","","C-D","","371","137","5"
"476.A","SS acreedora","","","Z","372","137","10"
"4751.A","Retención IRPF","","","R","373","137","15"
"460.A","Cancela anticipo","","","E","374","137","20"
"465.A","Neto pendiente de pago","","","L","375","137","25"
"628.A","Gasoil calefacción","","B","","376","138","0"
"472.A","IVA soportado 21%","","C","","377","138","5"
"400.A","Proveedor gasoil","","","Z","378","138","10"
"600.A","Compra mercaderías IVA 4%","","B","","379","139","0"
"472.A","IVA soportado 4%","","C","","380","139","5"
"400.A","Proveedor acreedor","","","Z","381","139","10"
"629.A","Servicio limpieza","","B","","382","140","0"
"472.A","IVA soportado 21%","","C","","383","140","5"
"410.A","Acreedor limpieza","","","Z","384","140","10"
"629.A","Cuota comunidad propietarios","","B","","385","141","0"
"410.A","Administrador comunidad","","","Z","386","141","5"
"629.A","Gasto formación","","B","","387","142","0"
"472.A","IVA soportado 21%","","C","","388","142","5"
"410.A","Acreedor formadora","","","Z","389","142","10"
"623.A","Honorarios gestoría","","B","","390","143","0"
"472.A","IVA soportado 21%","","C","","391","143","5"
"410.A","Acreedor gestoría","","","Z","392","143","10"
"628.A","Suministro agua","","B","","393","144","0"
"472.A","IVA soportado 10%","","C","","394","144","5"
"410.A","Acreedor empresa agua","","","Z","395","144","10"
"217.A","Equipo informático","","B","","396","145","0"
"472.A","IVA soportado 21%","","C","","397","145","5"
"523.A","Proveedor inmovilizado CP","","","Z","398","145","10"
"621.A","Arrendamiento vehículo renting","","B","","399","146","0"
"472.A","IVA soportado 21%","","C","","400","146","5"
"410.A","Acreedor renting","","","Z","401","146","10"
"572.A","Cobro subvención banco","","B","","402","147","0"
"740.A","Subvención explotación concedida","","","B","403","147","5"
"473.A","Pago fraccionado IRPF módulos","","B","","404","148","0"
"572.A","Banco","","","B","405","148","5"
"4751.A","Retenciones a cuenta capital mobiliario","","B","","406","149","0"
"572.A","Banco","","","B","407","149","5"
"4730.A","H.P. deudora IRPF (pagos fraccionados 130/131)","","","B","408","150","0"
"4750.A","H.P. acreedora IRPF (cuota a pagar)","","B","","409","150","5"
"572.A","Banco (diferencia a ingresar o devolver)","","C","","410","150","10"
"640.A","Salario bruto periodo trabajado","","B","","411","151","0"
"642.A","SS empresa periodo trabajado","","C","","412","151","5"
"471.A","SS a recuperar - prestación IT a cargo SS","","D","","413","151","10"
"465.A","Remuneraciones pendientes de pago (neto)","","","E","414","151","15"
"4751.A","Retención IRPF","","","F","415","151","20"
"476.A","Cuotas SS a pagar TGSS","","","G","416","151","25"
"640.A","Salario días efectivamente trabajados","","B","","417","152","0"
"642.A","SS empresa (solo días trabajados)","","C","","418","152","5"
"465.A","Neto a pagar empleado días trabajados","","","D","419","152","10"
"4751.A","Retención IRPF días trabajados","","","E","420","152","15"
"476.A","SS empresa + obrera días trabajados","","","F","421","152","20"
"600.A","Compra mercaderías importación","","B","","422","153","0"
"472.A","IVA importación (liquidado por aduana)","","C","","423","153","5"
"4004.A","Proveedor extracomunitario","","","B","424","153","10"
"4751.A","IVA importación a pagar a aduana","","","C","425","153","15"
"477.A","IVA repercutido autoconsumo","","","B","426","154","0"
"628.A","Gasto por autoconsumo (valor coste del bien)","","C","","427","154","5"
"472.A","Ajuste IVA soportado (diferencia prorrata definitiva vs provisional)","","B","","428","155","0"
"477.A","IVA repercutido ajuste prorrata","","","B","429","155","5"
"4305.A","Cliente RECC (derechos de cobro)","","Z","","430","156","0"
"700.A","Venta mercaderías / servicios","","","B","431","156","5"
"4777.A","IVA repercutido RECC pendiente de cobro","","","C","432","156","10"
"572.A","Banco - cobro cliente RECC","","B","","433","157","0"
"4305.A","Cancelación cliente RECC","","","B","434","157","5"
"4777.A","IVA RECC pendiente (cancelación)","","C","","435","157","10"
"477.A","IVA repercutido devengado al cobro","","","C","436","157","15"
"4740.A","Activo por impuesto diferido","","B","","437","158","0"
"6301.A","Impuesto diferido (ingreso en PyG)","","","B","438","158","5"
"4745.A","Crédito fiscal BINs pendientes","","B","","439","159","0"
"6301.A","Impuesto diferido (ingreso)","","","B","440","159","5"
"6301.A","Impuesto diferido (gasto)","","B","","441","160","0"
"479.A","Pasivo por impuesto diferido","","","B","442","160","5"
"625.A","Prima seguro de salud autónomo y familia","","B","","443","161","0"
"410.A","Acreedor - compañía aseguradora","","","B","444","161","5"
"627.A","Gastos de representación","","B","","445","162","0"
"472.A","IVA soportado (si aplica)","","C","","446","162","5"
"572.A","Banco / caja","","","Z","447","162","10"
"623.A","Gasto kilometraje vehículo propio","","B","","448","163","0"
"572.A","Banco / caja","","","B","449","163","5"
"629.A","Cuota colegio / asociación profesional","","B","","450","164","0"
"410.A","Acreedor - colegio / asociación","","","B","451","164","5"
"623.A","Gasto servicios prestados por vinculado (precio acordado)","","B","","452","165","0"
"659.A","Ajuste operación vinculada (diferencia a valor mercado)","","C","","453","165","5"
"551.A","Cuenta corriente socio / crédito vinculado","","","Z","454","165","10"
"100.A","Capital social (reducción)","","B","","455","166","0"
"572.A","Banco - devolución a socios","","","B","456","166","5"
"572.A","Banco - ingreso Bizum","","B","","457","167","0"
"430.A","Cancelación deuda cliente","","","B","458","167","5"
"5409.A","Inversiones financieras temporales - criptomonedas","","B","","459","168","0"
"430.A","Cancelación deuda cliente","","","C","460","168","5"
"769.A","Beneficio por diferencia tipo de cambio crypto (si B>C)","","","D","461","168","10"
"430.A","Cliente deudor","","B","","462","169","0"
"705.A","Ventas / ingresos actividad","","","B","463","169","5"
"600.A","Compra mercaderías / gasto","","B","","464","170","0"
"472.A","IVA soportado","","C","","465","170","5"
"400.A","Proveedor vencimiento 1 (más próximo)","","","D","466","170","10"
"400.A","Proveedor vencimiento 2","","","E","467","170","15"
"400.A","Proveedor vencimiento 3 (más lejano)","","","F","468","170","20"
"400.A","Cancelación vencimiento proveedor","","B","","469","171","0"
"572.A","Banco","","","B","470","171","5"
"430.A","Cliente vencimiento 1 (más próximo)","","D","","471","172","0"
"430.A","Cliente vencimiento 2","","E","","472","172","5"
"430.A","Cliente vencimiento 3 (más lejano)","","F","","473","172","10"
"700.A","Venta mercaderías / ingresos","","","B","474","172","15"
"477.A","IVA repercutido","","","C","475","172","20"
"572.A","Banco","","B","","476","173","0"
"430.A","Cancelación vencimiento cliente","","","B","477","173","5"
"4750.A","H.P. acreedora deuda tributaria (vence → aplazada)","","B","","478","174","0"
"4758.A","H.P. deudora por aplazamiento concedido","","","B","479","174","5"
"669.A","Intereses de demora — aplazamiento Hacienda","","B","","480","175","0"
"4758.A","Aumento deuda aplazada por intereses devengados","","","B","481","175","5"
"4758.A","Cancelación capital del plazo aplazado","","B","","482","176","0"
"669.A","Intereses de demora del plazo","","C","","483","176","5"
"572.A","Banco — pago total del plazo","","","Z","484","176","10"
